John, 3, 16, 18, For God so loved the world that he gave his one and only Son that whoever believes in him shall not perish but have eternal life.
Proverbs, 3, 5, 6, Trust in the LORD with all your heart and lean not on your own understanding; in all your ways acknowledge him and he will make your paths straight.
Philippians, 4, 6, 7, Do not be anxious about anything
Exodus, 20, 12, Honor your father and your mother so that you may live long in the land the LORD your God is giving you.
Matthew, 5, 16, In the same way let your light shine before others that they may see your good deeds and glorify your Father in heaven.
Romans, 8, 28, And we know that in all things God works for the good of those who love him who have been called according to his purpose.
Psalms, 23, 1, 4, The Lord is my shepherd I lack nothing He makes me lie down in green pastures he leads me beside quiet waters he refreshes my soul He guides me along the right paths for his name’s sake Even though I walk through the darkest valley I will fear no evil for you are with me your rod and your staff they comfort me
Isaiah, 40, 31, But those who hope in the Lord will renew their strength They will soar on wings like eagles they will run and not grow weary they will walk and not be faint
James, 1, 5, If any of you lacks wisdom you should ask God who gives generously to all without finding fault and it will be given to you
Joshua, 1, 9, Have I not commanded you Be strong and courageous Do not be afraid do not be discouraged for the Lord your God will be with you wherever you go
1 Corinthians, 13, 4, 7, Love is patient love is kind It does not envy it does not boast it is not proud It does not dishonor others it is not self seeking it is not easily angered it keeps no record of wrongs Love does not delight in evil but rejoices with the truth It always protects always trusts always hopes always perseveres
Psalm, 119, 105, Your word is a lamp for my feet a light on my path
John, 14, 6, Jesus answered I am the way and the truth and the life No one comes to the Father except through me
Galatians, 5, 22, 23, But the fruit of the Spirit is love joy peace forbearance kindness goodness faithfulness gentleness and self control Against such things there is no law
Ephesians, 2, 8, 9, For it is by grace you have been saved through faith and this is not from yourselves it is the gift of God not by works so that no one can boast
2 Timothy, 1, 7, For the Spirit God gave us does not make us timid but gives us power love and self discipline
